gurmukhi,shahmukhi,part_of_speech
ਮੁਹਾਨਾ,مُہانا,"noun, masculine"
ਰੀਂਗ,رینگ,verb
ਕਾਰਨ,کارن,"noun, masculine"
ਦੋਹਤਵਾਣ,,
ਸੇਮ ਫਲ਼ੀ,سیم پھلی,"noun, feminine"
ਪਿਓ ਮਾਰ,پیو مار,"noun, feminine"
ਸੰਕਲਿਤ,سنکلِت,adjective
ਮੰਗਾਈ,منگائی,"noun, feminine"
ਸੱਦਕਡ਼ਾ,,
ਰਣ ਚੰਡੀ,رن چنڈی,"noun, feminine"
ਪਸਿੱਤਾ,پسِتّا,"adjective, masculine"
ਦੀ,دی,preposition
ਛੂੰਬਰ,,
ਤ੍ਰਾਟ,تراٹ,"noun, feminine"
ਮਿਰਤੂ ਸਮਾਚਾਰ,مِرتو سماچار,"noun, masculine"
ਆਦਰਸ਼,آدرش,"noun, masculine"
ਖੋਪਾ,کھوپا,"noun, masculine"
ਮਲਨ,,
ਲਵਰਣ,,
ਲਿਤਾਡ਼ਣਾ,,
ਚਾਂਗਰ,چانگر,"noun, feminine"
ਆਪਾ ਅਤੀਤ,آپا اتیت,adjective
ਸਖਸ,,
ਖਰੋਸ਼ਟੀ,کھروشٹی,"noun, feminine"
ਦਾਲ਼ ਮੰਡਾ,دال منڈا,"noun, masculine/noun, masculine/noun, feminine"
ਵਿਅਰਥ,وِارتھ,adjective
